Barcode	Position	gener	Logica	Bio	chimica	Mate	Score	Ateneo
646443431238944	9147	2.2	4.1	18.2	-1.7	1.1	23.9	milano
654543351338954	9148	-0.8	0.7	19	-0.5	5.5	23.9	esteri
654633441248744	9149	1.1	2.6	19	-0.2	1.4	23.9	esteri
664654433349943	9150	-1.6	-2	19.3	3.5	4.7	23.9	esteri
444553451258744	9151	2.6	1.1	21.2	-2	1	23.9	bicocca
564643341149745	9152	-0.8	0.3	23.5	-2.8	3.7	23.9	sapienza
546535542238843	9153	1.1	6	9.2	3	4.5	23.8	esteri
564555433349953	9154	4.1	2.2	11	-2.8	9.3	23.8	padova
445445532158843	9155	1.1	0.7	11.9	1.1	9	23.8	federico
545654342338744	9156	1.1	2.2	14	-1.7	8.2	23.8	padova
656555552338844	9157	1.5	4.5	16	0.3	1.5	23.8	lvanvitelli
466434453358843	9158	1.5	0.3	16.4	1.5	4.1	23.8	torvergata
554444343339853	9159	0.7	2.2	17.8	-1	4.1	23.8	milano
455445553248853	9160	2.6	0.7	18.6	0.2	1.7	23.8	messina
646654352138944	9161	2.6	-0.8	18.7	-1.2	4.5	23.8	lvanvitelli
666654342249943	9162	1.1	0	19.4	0.7	2.6	23.8	esteri
444644353149943	9163	-0.4	0.7	19.8	-0.8	4.5	23.8	milano
666633541359754	9164	1.1	2.6	20.9	-2.1	1.3	23.8	bologna
465435442158743	9165	0.7	1.8	21.2	-1.7	1.8	23.8	milano
464645441238844	9166	-1.6	-2	23.5	1.7	2.2	23.8	esteri
454544451148955	9167	4.5	6	9.2	0.3	3.7	23.7	milano
446544553148845	9168	2.6	6	11.9	-0.8	4	23.7	federico
454634352339855	9169	0.3	4.1	12.1	2.8	4.4	23.7	esteri
545545332339745	9170	3	4.1	12.2	0.7	3.7	23.7	esteri
465554533239854	9171	0	2.2	13.3	4.5	3.7	23.7	esteri
656633443248754	9172	2.6	2.2	13.6	-1.3	6.6	23.7	padova
466433433358854	9173	1.1	0.3	15.5	1.6	5.2	23.7	esteri
646444453138954	9174	2.6	4.1	15.6	0	1.4	23.7	pavia
464454452138745	9175	1.5	-0.4	16.4	2.9	3.3	23.7	esteri
665543333248855	9176	2.2	0.3	16.7	-2.5	7	23.7	cagliari
565633451258845	9177	3	2.6	17.1	0.7	0.3	23.7	messina
445533553158753	9178	1.1	0.3	17.4	0.6	4.3	23.7	esteri
555635352139755	9179	2.6	-0.8	19	2.2	0.7	23.7	milano
555553442258955	9180	2.2	-1.6	19.3	0.9	2.9	23.7	esteri
546453532348754	9181	-0.4	0.3	19.4	0.7	3.7	23.7	esteri
646553451139854	9182	-0.4	1.1	20.5	1.8	0.7	23.7	esteri
664444353249844	9183	1.1	-0.8	20.5	1.1	1.8	23.7	esteri
665434531259853	9184	1.1	2.6	20.5	-1.2	0.7	23.7	esteri
664534431258755	9185	1.1	-0.4	22.4	0.7	-0.1	23.7	esteri
655555331259743	9186	-0.4	1.8	22.4	-1.6	1.5	23.7	messina
654435552159945	9187	-0.4	0.3	23.5	-0.8	1.1	23.7	esteri
445643553259954	9188	-1.6	-0.8	25.8	-1	1.3	23.7	esteri
465443543359745	9189	2.6	1.8	8.5	1.8	8.9	23.6	sapienza
446533332148954	9190	2.6	2.2	12.6	-0.5	6.7	23.6	milano
456443532249844	9191	4.1	-1.2	13.7	0.3	6.7	23.6	milano
464533532148955	9192	0.7	3	15.2	4.4	0.3	23.6	cagliari
646435441258953	9193	1.1	4.1	15.5	2	0.9	23.6	esteri
465533342238843	9194	2.2	1.8	15.5	0.9	3.2	23.6	torino
445534532138755	9195	3	2.6	15.6	2.5	-0.1	23.6	bologna
546544543148744	9196	0	0	15.9	5.9	1.8	23.6	esteri
464443442248844	9197	-0.4	0	16.3	7.8	-0.1	23.6	esteri
464535431249755	9198	3	-0.8	17.1	1.7	2.6	23.6	esteri
646635533348844	9199	0	1.5	17.5	0.6	4	23.6	esteri
445645351258744	9200	2.6	4.1	18.2	-1.2	-0.1	23.6	parma
564455342359944	9201	2.6	-2	21.2	3.9	-2.1	23.6	esteri
565655533149955	9202	1.5	4.1	7.8	3	7.1	23.5	esteri
546533333359855	9203	1.5	2.2	10.1	5.6	4.1	23.5	messina
655434551359943	9204	2.2	-2	13.6	-0.3	10	23.5	lvanvitelli
444453351349943	9205	2.2	-0.1	13.6	3.5	4.3	23.5	milano
655455542249843	9206	-0.4	3.7	14.4	3.6	2.2	23.5	esteri
664453331148744	9207	1.1	4.5	15.3	1.1	1.5	23.5	milano
454553542159944	9208	-1.6	1.8	15.5	1.6	6.2	23.5	sapienza
554455543359855	9209	-0.4	2.2	16.4	-1	6.3	23.5	esteri
445553533258844	9210	6	-0.1	17.4	-0.3	0.5	23.5	bicocca
465433452349855	9211	0.3	-0.1	17.4	1.6	4.3	23.5	esteri
644444351249943	9212	1.1	0.3	17.8	2.9	1.4	23.5	esteri
666444543338955	9213	-0.8	1.8	18.2	2.5	1.8	23.5	esteri
646455341248755	9214	1.1	0.7	18.7	0	3	23.5	federico
566654531258843	9215	2.2	-0.1	19.3	3.5	-1.4	23.5	esteri
544444453148844	9216	0.3	-0.1	19.3	1.6	2.4	23.5	padova
564635551249854	9217	0.3	-0.1	21.2	1.6	0.5	23.5	esteri
446544533249845	9218	0	0	21.3	-0.4	2.6	23.5	milano
